A,Agilent Technologies Inc. Common Stock
AA,Alcoa Corporation Common Stock
AAC,Ares Acquisition Corporation Class A Ordinary Shares
AAIC,Arlington Asset Investment Corp Class A (new)
AAN,Aarons Holdings Company Inc. Common Stock
AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I
AAT,American Assets Trust Inc. Common Stock
AB,AllianceBernstein Holding L.P.  Units
ABB,ABB Ltd Common Stock
ABBV,AbbVie Inc. Common Stock
ABC,AmerisourceBergen Corporation Common Stock
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share)
ABG,Asbury Automotive Group Inc Common Stock
ABM,ABM Industries Incorporated Common Stock
ABR,Arbor Realty Trust Common Stock
ABT,Abbott Laboratories Common Stock
AC,Associated Capital Group Inc. Common Stock
ACA,Arcosa Inc. Common Stock
ACB,Aurora Cannabis Inc. Common Shares
ACC,American Campus Communities Inc Common Stock
ACCO,Acco Brands Corporation Common Stock
ACEL,Accel Entertainment Inc.
ACH,Aluminum Corporation of China Limited American Depositary Shares
ACI,Albertsons Companies Inc. Class A Common Stock
ACIC,Atlas Crest Investment Corp. Class A Common Stock
ACII,Atlas Crest Investment Corp. II Class A Common Stock
ACM,AECOM Common Stock
ACN,Accenture plc Class A Ordinary Shares (Ireland)
ACND,Ascendant Digital Acquisition Corp. Class A Ordinary Shares
ACP,Aberdeen Income Credit Strategies Fund Common Shares
ACR,ACRES Commercial Realty Corp. Common Stock
ACRE,Ares Commercial Real Estate Corporation Common Stock
ACV,Virtus AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial
ADC,Agree Realty Corporation Common Stock
ADCT,ADC Therapeutics SA Common Shares
ADEX,Adit EdTech Acquisition Corp. Common Stock
ADM,Archer-Daniels-Midland Company Common Stock
ADNT,Adient plc Ordinary Shares
ADS,Alliance Data Systems Corporation Common Stock
ADT,ADT Inc. Common Stock
ADX,Adams Diversified Equity Fund Inc.
AEB,AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands)
AEE,Ameren Corporation Common Stock
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049
AEG,AEGON N.V. Common Stock
AEL,American Equity Investment Life Holding Company Common Stock
AEM,Agnico Eagle Mines Limited Common Stock
AENZ,Aenza S.A.A. American Depositary Shares
AEO,American Eagle Outfitters Inc. Common Stock
AER,AerCap Holdings N.V. Ordinary Shares
AES,The AES Corporation Common Stock
AESC,The AES Corporation Corporate Units
AEVA,Aeva Technologies Inc. Common Stock
AFB,AllianceBernstein National Municipal Income Fund Inc
AFG,American Financial Group Inc. Common Stock
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060
AFI,Armstrong Flooring Inc. Common Stock
AFL,AFLAC Incorporated Common Stock
AFT,Apollo Senior Floating Rate Fund Inc. Common Stock
AG,First Majestic Silver Corp. Ordinary Shares (Canada)
AGAC,African Gold Acquisition Corporation Class A Ordinary Shares
AGCB,Altimeter Growth Corp. 2 Class A Ordinary Shares
AGCO,AGCO Corporation Common Stock
AGD,Aberdeen Global Dynamic Dividend Fund
AGI,Alamos Gold Inc. Class A Common Shares
AGL,agilon health inc. Common Stock
AGM,Federal Agricultural Mortgage Corporation Common Stock
AGO,Assured Guaranty Ltd. Common Stock
AGR,Avangrid Inc. Common Stock
AGRO,Adecoagro S.A. Common Shares
AGS,PlayAGS Inc. Common Stock
AGTI,Agiliti Inc. Common Stock
AGX,Argan Inc. Common Stock
AHC,A.H. Belo Corporation (TX) Common Stock
AHH,Armada Hoffler Properties Inc. Common Stock
AHT,Ashford Hospitality Trust Inc Common Stock
AI,C3.ai Inc. Class A Common Stock
AIC,Arlington Asset Investment Corp 6.750% Notes due 2025
AIF,Apollo Tactical Income Fund Inc. Common Stock
AIG,American International Group Inc. New Common Stock
AIN,Albany International Corporation Common Stock
AIO,Virtus AllianzGI Artificial Intelligence & Technology Opportunities Fund Common Shares
AIR,AAR Corp. Common Stock
AIRC,Apartment Income REIT Corp. Common Stock
AIT,Applied Industrial Technologies Inc. Common Stock
AIV,Apartment Investment and Management Company Common Stock
AIW,Arlington Asset Investment Corp 6.625% Notes due 2023
AIZ,Assurant Inc. Common Stock
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061
AJAX,Ajax I Class A Ordinary Shares
AJG,Arthur J. Gallagher & Co. Common Stock
AJRD,Aerojet Rocketdyne Holdings Inc. Common Stock
AJX,Great Ajax Corp. Common Stock
AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024
AKO/A,Embotelladora Andina S.A.
AKO/B,Embotelladora Andina S.A.
AKR,Acadia Realty Trust Common Stock
AL,Air Lease Corporation Class A Common Stock
ALB,Albemarle Corporation Common Stock
ALC,Alcon Inc. Ordinary Shares
ALE,Allete Inc.
ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company
ALG,Alamo Group Inc. Common Stock
ALK,Alaska Air Group Inc. Common Stock
ALL,Allstate Corporation (The) Common Stock
ALLE,Allegion plc Ordinary Shares
ALLY,Ally Financial Inc. Common Stock
ALSN,Allison Transmission Holdings Inc. Common Stock
ALTG,Alta Equipment Group Inc. Class A Common Stock
ALUS,Alussa Energy Acquisition Corp. Class A Ordinary Shares
ALV,Autoliv Inc. Common Stock
ALX,Alexander's Inc. Common Stock
AM,Antero Midstream Corporation Common Stock
AMBC,Ambac Financial Group Inc. Common Stock
AMC,AMC Entertainment Holdings Inc. Class A Common Stock
AMCR,Amcor plc Ordinary Shares
AME,AMETEK Inc.
AMG,Affiliated Managers Group Inc. Common Stock
AMH,American Homes 4 Rent Common Shares of Beneficial
AMK,AssetMark Financial Holdings Inc. Common Stock
AMN,AMN Healthcare Services Inc AMN Healthcare Services Inc
AMOV,America Movil S.A.B. de C.V. Class A American Depositary Shares
AMP,Ameriprise Financial Inc. Common Stock
AMPI,Advanced Merger Partners Inc. Class A Common Stock
AMPY,Amplify Energy Corp. Common Stock
AMR,Alpha Metallurgical Resources Inc. Common Stock
AMRC,Ameresco Inc. Class A Common Stock
AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock
AMT,American Tower Corporation (REIT) Common Stock
AMWL,American Well Corporation Class A Common Stock
AMX,America Movil S.A.B. de C.V. American Depository Receipt Series L
AN,AutoNation Inc. Common Stock
ANAC,Arctos NorthStar Acquisition Corp. Class A Ordinary Shares
ANET,Arista Networks Inc. Common Stock
ANF,Abercrombie & Fitch Company Common Stock
ANTM,Anthem Inc. Common Stock
AOD,Aberdeen Total Dynamic Dividend Fund Common Stock
AON,Aon plc Class A Ordinary Shares (Ireland)
AONE,one Class A Ordinary Shares
AOS,A.O. Smith Corporation Common Stock
AP,Ampco-Pittsburgh Corporation Common Stock
APAM,Artisan Partners Asset Management Inc. Class A Common Stock
APD,Air Products and Chemicals Inc. Common Stock
APG,APi Group Corporation Common Stock
APGB,Apollo Strategic Growth Capital II Class A Ordinary Shares
APH,Amphenol Corporation Common Stock
APO,Apollo Global Management Inc. Class A Common Stock
APRN,Blue Apron Holdings Inc. Class A Common Stock
APSG,Apollo Strategic Growth Capital Class A Ordinary Shares
APTS,Preferred Apartment Communities Inc. Common Stock
APTV,Aptiv PLC Ordinary Shares
AQN,Algonquin Power & Utilities Corp. Common Shares
AQNA,Algonquin Power & Utilities Corp. 6.875% Fixed-to-Floating Rate Subordinated Notes Series 2018-A due October 17 2078
AQNB,Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1 2079
AQUA,Evoqua Water Technologies Corp. Common Stock
AR,Antero Resources Corporation Common Stock
ARC,ARC Document Solutions Inc. Common Stock
ARCH,Arch Resources Inc. Class A Common Stock
ARCO,Arcos Dorados Holdings Inc. Class A Shares
ARD,Ardagh Group S.A. Common Shares
ARDC,Ares Dynamic Credit Allocation Fund Inc. Common Shares
ARE,Alexandria Real Estate Equities Inc. Common Stock
ARES,Ares Management Corporation Class A Common Stock
ARGD,Argo Group International Holdings Ltd. 6.5% Senior Notes Due 2042
ARGO,Argo Group International Holdings Ltd.
ARI,Apollo Commercial Real Estate Finance Inc
ARL,American Realty Investors Inc. Common Stock
ARLO,Arlo Technologies Inc. Common Stock
ARMK,Aramark Common Stock
ARNC,Arconic Corporation Common Stock
AROC,Archrock Inc. Common Stock
ARR,ARMOUR Residential REIT Inc.
ARW,Arrow Electronics Inc. Common Stock
ASA,ASA  Gold and Precious Metals Limited
ASAI,Sendas Distribuidora S.A. ADS
ASAN,Asana Inc. Class A Common Stock
ASAQ,Atlantic Street Acquisition Corp Class A Common Stock
ASB,Associated Banc-Corp Common Stock
ASC,Ardmore Shipping Corporation Common Stock
ASG,Liberty All-Star Growth Fund Inc.
ASGI,Aberdeen Standard Global Infrastructure Income Fund Common Shares of Beneficial
ASGN,ASGN Incorporated Common Stock
ASH,Ashland Global Holdings Inc. Common Stock
ASIX,AdvanSix Inc. Common Stock
ASPL,Aspirational Consumer Lifestyle Corp. Class A Ordinary Shares
ASPN,Aspen Aerogels Inc. Common Stock
ASR,Grupo Aeroportuario del Sureste S.A. de C.V. Common Stock
ASX,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares)
ASZ,Austerlitz Acquisition Corporation II Class A Ordinary Shares
AT,Atlantic Power Corporation Ordinary Shares (Canada)
ATA,Americas Technology Acquisition Corp. Ordinary Shares
ATAC,Altimar Acquisition Corporation Class A Ordinary Shares
ATAQ,Altimar Acquisition Corp. III Class A Ordinary Shares
ATC,Atotech Limited Common Shares
ATCO,Atlas Corp. Common Shares
ATEN,A10 Networks Inc. Common Stock
ATGE,Adtalem Global Education Inc. Common Stock
ATH,Athene Holding Ltd. Class A Common Shares
ATHM,Autohome Inc. American Depositary Shares each representing four class A ordinary shares.
ATI,Allegheny Technologies Incorporated Common Stock
ATKR,Atkore Inc. Common Stock
ATMR,Altimar Acquisition Corp. II Class A Ordinary Shares
ATO,Atmos Energy Corporation Common Stock
ATR,AptarGroup Inc. Common Stock
ATTO,Atento S.A. Ordinary Shares
ATUS,Altice USA Inc. Class A Common Stock
AU,AngloGold Ashanti Limited Common Stock
AUD,Audacy Common Stock
AUS,Austerlitz Acquisition Corporation I Class A Ordinary Shares
AUY,Yamana Gold Inc. Ordinary Shares (Canada)
AVA,Avista Corporation Common Stock
AVAL,Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares)
AVAN,Avanti Acquisition Corp. Class A Ordinary Shares
AVB,AvalonBay Communities Inc. Common Stock
AVD,American Vanguard Corporation Common Stock ($0.10 Par Value)
AVK,Advent Convertible and Income Fund
AVLR,Avalara Inc. Common Stock
AVNS,Avanos Medical Inc. Common Stock
AVNT,Avient Corporation Common Stock
AVTR,Avantor Inc. Common Stock
AVY,Avery Dennison Corporation Common Stock
AVYA,Avaya Holdings Corp. Common Stock
AWF,Alliancebernstein Global High Income Fund
AWI,Armstrong World Industries Inc Common Stock
AWK,American Water Works Company Inc. Common Stock
AWP,Aberdeen Global Premier Properties Fund Common Shares of Beneficial
AWR,American States Water Company Common Stock
AX,Axos Financial Inc. Common Stock
AXL,American Axle & Manufacturing Holdings Inc. Common Stock
AXP,American Express Company Common Stock
AXR,AMREP Corporation Common Stock
AXS,Axis Capital Holdings Limited Common Stock
AXTA,Axalta Coating Systems Ltd. Common Shares
AYI,Acuity Brands Inc.
AYX,Alteryx Inc. Class A Common Stock
AZEK,The AZEK Company Inc. Class A Common Stock
AZO,AutoZone Inc. Common Stock
AZRE,Azure Power Global Limited Equity Shares
AZUL,Azul S.A. American Depositary Shares (each representing three preferred shares)
AZZ,AZZ Inc.
B,Barnes Group Inc. Common Stock
BA,Boeing Company (The) Common Stock
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share
BAC,Bank of America Corporation Common Stock
BAH,Booz Allen Hamilton Holding Corporation Common Stock
BAK,Braskem SA ADR
BALY,Bally's Corporation Common Stock
BAM,Brookfield Asset Management Inc. Common Stock
BAMH,Brookfield Finance Inc. 4.625% Subordinated Notes due October 16 2080
BAMI,Brookfield Finance Inc. 4.50% Perpetual Subordinated Notes
BANC,Banc of California Inc. Common Stock
BAP,Credicorp Ltd. Common Stock
BAX,Baxter International Inc. Common Stock
BB,BlackBerry Limited Common Stock
BBAR,Banco BBVA Argentina S.A. ADS
BBD,Banco Bradesco Sa American Depositary Shares
BBDC,Barings BDC Inc. Common Stock
BBDO,Banco Bradesco Sa American Depositary Shares (each representing one Common Share)
BBL,BHP Group PlcSponsored ADR
BBN,BlackRock Taxable Municipal Bond Trust Common Shares of Beneficial
BBU,Brookfield Business Partners L.P. Limited Partnership Units
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock
BBW,Build-A-Bear Workshop Inc. Common Stock
BBY,Best Buy Co. Inc. Common Stock
BC,Brunswick Corporation Common Stock
BCAT,BlackRock Capital Allocation Trust Common Shares of Beneficial
BCC,Boise Cascade L.L.C. Common Stock
BCE,BCE Inc. Common Stock
BCEI,Bonanza Creek Energy Inc. Common Stock
BCH,Banco De Chile Banco De Chile ADS
BCO,Brinks Company (The) Common Stock
BCS,Barclays PLC Common Stock
BCSF,Bain Capital Specialty Finance Inc. Common Stock
BCX,BlackRock Resources Common Shares of Beneficial
BDC,Belden Inc Common Stock
BDJ,Blackrock Enhanced Equity Dividend Trust
BDN,Brandywine Realty Trust Common Stock
BDX,Becton Dickinson and Company Common Stock
BE,Bloom Energy Corporation Class A Common Stock
BEDU,Bright Scholar Education Holdings Limited American Depositary Shares each  representing one Class A Ordinary Share
BEKE,KE Holdings Inc American Depositary Shares (each representing three Class A Ordinary Shares)
BEN,Franklin Resources Inc. Common Stock
BEP,Brookfield Renewable Partners L.P.
BEPC,Brookfield Renewable Corporation Class A Subordinate Voting Shares
BEPH,Brookfield BRP Holdings (Canada) Inc. 4.625% Perpetual Subordinated Notes
BERY,Berry Global Group Inc. Common Stock
BEST,BEST Inc. American Depositary Shares each representing one Class A Ordinary Share
BF/A,Brown Forman Corporation
BF/B,Brown Forman Corporation
BFAM,Bright Horizons Family Solutions Inc. Common Stock
BFK,BlackRock Municipal Income Trust
BFLY,Butterfly Network Inc. Class A Common Stock
BFS,Saul Centers Inc. Common Stock
BFZ,BlackRock California Municipal Income Trust
BG,Bunge Limited Bunge Limited
BGB,Blackstone Strategic Credit Fund Common Shares
BGH,Barings Global Short Duration High Yield Fund Common Shares of Beneficial s
BGIO,BlackRock 2022 Global Income Opportunity Trust Common Shares of Beneficial
BGR,BlackRock Energy and Resources Trust
BGS,B&G Foods Inc. B&G Foods Inc. Common Stock
BGSF,BGSF Inc. Common Stock
BGT,BlackRock Floating Rate Income Trust
BGX,Blackstone Long Short Credit Income Fund Common Shares
BGY,Blackrock Enhanced International Dividend Trust
BH,Biglari Holdings Inc. Class B Common Stock
BHC,Bausch Health Companies Inc. Common Stock
BHE,Benchmark Electronics Inc. Common Stock
BHK,Blackrock Core Bond Trust Blackrock Core Bond Trust
BHLB,Berkshire Hills Bancorp Inc. Common Stock
